pmm_datetime,enodeb_name,ltecell_name,rrcconnlevsum,rrcconnlevsamp,day_part
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1603.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,9586.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,36642.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,18950.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,23560.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,29739.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3117.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,28456.0,720.0,2022-09-13
2022-09-13 15:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6428.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,10849.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3085.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1266.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,30343.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6230.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,21259.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,40878.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,25292.0,720.0,2022-09-13
2022-09-13 16:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,17898.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,25458.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6518.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,36553.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,17503.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3269.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,31871.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,13889.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,20695.0,720.0,2022-09-13
2022-09-13 17:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1685.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1490.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,23535.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6858.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,9917.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,17856.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,25016.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,40791.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3463.0,720.0,2022-09-13
2022-09-13 18:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,31590.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,16574.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,2994.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,25326.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,28983.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,7270.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,2385.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,6507.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,35277.0,720.0,2022-09-13
2022-09-13 19:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,22394.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,875.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,24514.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,5614.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6074.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,17772.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,16939.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,2835.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,35932.0,720.0,2022-09-13
2022-09-13 20:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,26142.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6806.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,18264.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,36859.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,5471.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,17094.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,877.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,23885.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,23267.0,720.0,2022-09-13
2022-09-13 21:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,2525.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,24176.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,34700.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,3040.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,24464.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,19536.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,6147.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,7086.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,13895.0,720.0,2022-09-13
2022-09-13 22:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,1005.0,720.0,2022-09-13
2022-09-13 23:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,21479.0,720.0,2022-09-13
2022-09-13 23:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,2370.0,720.0,2022-09-13
