pmm_datetime,enodeb_name,ltecell_name,pdcpvoldldrb,pdcpvoluldrb,pdcpvoldldrblasttti,day_part
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,1160334.0,103341.0,25994.0,2022-09-13
2022-09-13 07:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,178324.0,13186.0,21497.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L08,8916593.0,245819.0,333920.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L18,29626061.0,1716882.0,11717554.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,9916624.0,998445.0,1071826.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L21,4461144.0,53064.0,247569.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L21,20666084.0,1452511.0,6458882.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,4532010.0,242332.0,1375584.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,16129189.0,1751464.0,2024301.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N2L18,5619908.0,462729.0,1110772.0,2022-09-13
2022-09-13 08:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L18,120465602.0,3441424.0,16791688.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N1L08,25589928.0,1593257.0,2326241.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L08,39654835.0,2306834.0,2632900.0,2022-09-13
2022-09-13 09:00:00.000,CEIRA_LTE_MCO001B2,CEIRA_MCO001N3L21,6499166.0,383066.0,2141719.0,2022-09-13
