,users_avg,prb_ul_usage_rate_avg,hsr_intra_freq,hsr_inter_freq,cell_throughput_dl_avg,user_throughput_ul_avg,tp_carrier_aggr,carrier_aggr_usage,cqi_avg,traffic_volume_data,user_throughput_dl_avg,cell_throughput_ul_avg,prb_dl_usage_rate_avg,daytime
4000,1.776912828,-2.979361129,-1.445972684,-2.060793191,8583.90186,-2028.356565,8439.128259,11.7217593,-2.470653965,2165.710876,530.6282631,-9763.040538,24.33344658,
4069,-2.243920505,-52.31417168,-1.445972684,-2.060793191,-2864.32902,-2479.364626,-4511.772297,12.33494057,-0.435498999,-515.1242492,-9079.865,-4048.346072,3.195988801,
4431,-3.420309394,-12.08360557,-1.445972684,-2.060793191,9264.775236,-1919.442031,-4426.317836,0.490645133,-0.84380704,1966.004001,-1359.751798,-8954.580957,18.71000269,
4432,-3.986976061,-9.939250018,-1.445972684,-2.060793191,4437.800338,-2723.021938,-2606.704228,5.533664612,-0.864288226,1037.588751,-4724.676699,-8566.952109,11.73676102,
4718,-8.205031616,-10.17023113,-1.445972684,-2.060793191,2080.533837,-2950.77826,5815.959575,15.79908424,0.227459285,519.5237508,691.8010803,-6887.74495,2.617868245,
5175,3.701912828,3.817073871,-1.445972684,-2.060793191,5184.563491,-8562.041183,5314.202288,6.654703629,-1.716308701,1957.686126,-438.2044784,-964.7969433,23.03433047,
5264,-2.234198283,-16.32599057,-1.445972684,17.93920681,-16540.91065,849.5450969,355.0077602,-32.16767763,0.818950587,-10489.10725,2431.763406,77.52888327,-59.70995509,
5266,3.369968384,-20.23660835,-1.445972684,-2.060793191,-21590.27489,1230.67168,-12202.33323,-62.49417602,0.303490201,-12275.202,-15706.11546,365.1969761,-54.70762676,
5267,3.582468384,-23.55744446,-1.445972684,-2.060793191,-25496.877,1102.492106,-14854.98473,-64.22784063,0.168115608,-13863.3835,-20020.03423,251.6234444,-55.98839009,
5268,4.654690606,-18.09322613,-1.445972684,-2.060793191,-24001.75304,1126.596251,-15044.04477,-68.2029655,0.31135466,-11505.95712,-17616.86413,296.8720888,-46.98577342,
5269,4.726912828,-10.59501224,-1.445972684,-2.060793191,-20361.44408,986.2868988,-10406.06952,-59.28844173,0.260922654,-5964.629374,-13283.42583,138.1819429,-19.40439898,
5364,3.044968384,4.840288315,-1.445972684,64.60587348,5421.711548,1237.718602,-4565.137959,-44.97405415,0.00409225,2451.384876,-10053.31703,667.3764359,27.73087713,
5365,6.054690606,3.460278315,-1.445972684,86.8280957,4138.858778,622.559077,-2218.161408,-16.37264061,-2.242046954,2123.271126,2346.709086,-183.2836001,25.29482102,
5387,8.683857273,5.356893871,-1.445972684,22.93920681,-9844.178291,1464.150175,-8654.018188,-74.09760833,-0.17746249,1886.808501,-16888.49777,832.2873265,25.14801324,
5412,4.013023939,2.502071649,-1.445972684,37.93920681,-3304.495353,-952.4039047,-12942.0997,-53.94112428,0.150869363,2051.703001,-19422.04883,-919.3454768,25.58788547,
5511,10.20885727,3.607031649,-1.445972684,-2.060793191,5010.801354,-3125.251438,-6721.911374,-61.68002708,0.196381007,2519.539126,-1077.683933,-2934.53492,26.07392436,
5531,6.389412828,2.788794427,-1.445972684,31.27254014,-12220.55364,16.75513719,-7986.678527,-77.85515218,0.298738683,-556.9721242,-15696.96882,-229.5813572,7.290259912,
5602,3.671357273,-18.27058168,-1.445972684,-2.060793191,-27823.81695,1118.893709,-13108.40443,-51.54702877,-0.017657906,-15872.30762,-10058.95307,313.6993301,-61.91830731,
5603,2.868579495,-17.69644335,-1.445972684,-2.060793191,-31281.09612,637.0733226,-20349.91266,-63.04878078,-0.278490311,-13692.44862,-19753.72415,-188.9239271,-44.60927176,
